asset,alpha,beta,lambda,mean_return,volatility,kurtosis,skew,VaR_95,CVaR_95,vol_cluster,GBM_mean,GBM_vol,GBM_kurtosis,GBM_skew,GBM_VaR,GBM_CVaR,GBM_vol_cluster
SPY,0.1,-0.125,0.85,0.005993945060665692,0.21110529341188597,-0.01870847253519914,0.0184507234307083,-0.34087424353542617,-0.4266620681948098,0.0009079951389789358,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.05,0.007968718330685368,0.20151969006882098,0.004394567461371235,-0.015159071353283697,-0.32490883183987085,-0.4093514415372956,0.0011808584999856394,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.1,0.008532487451315768,0.20302963129270082,0.014034276516835309,0.0034380859910730813,-0.3242327370441,-0.4104951668705535,-0.0002626989080495609,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.15,0.00848760194689592,0.20230830381226503,0.017072179656265174,-0.0017772638491831486,-0.3253012842888667,-0.40934787469927275,0.0027332462875097815,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.2,0.00832283657352676,0.20378555361252831,0.0041370301571639345,0.006894346443818857,-0.32583287089833624,-0.4109324887273613,0.001442796062733788,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.25,0.007962188211813602,0.20453117053757508,-0.0022808843590493844,0.007401247618682412,-0.32885556996915094,-0.4131527312377148,0.002442222003722279,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.3,0.0073692715562987225,0.2054889974742864,-0.021669211380681563,-0.0037520052321268972,-0.33129696223702687,-0.41585937474795537,-0.00451596925850907,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.35,0.00832056470054594,0.20526987091131838,-0.010864514578513784,-0.006003953573651759,-0.32915609532616064,-0.41524326998864,0.006800786013946395,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.39999999999999997,0.008141824156941972,0.20545322524344936,0.010774034447016412,-0.0037934946132278475,-0.3292462999276618,-0.41636314539161423,-0.0009411565159493002,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.44999999999999996,0.008012702183687137,0.20591138791303187,0.008868313837165243,-0.00035785523312176416,-0.3304540194731619,-0.4170694417520965,0.006417859448569722,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.49999999999999994,0.006930227349812053,0.20750072950395307,-0.028469911031965278,0.0019928035469797645,-0.33335243560545286,-0.4192228585190238,-0.004656921335727464,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.5499999999999999,0.006867095126132772,0.20754224629814885,0.030517490606172704,0.01104635762758072,-0.3329198346440669,-0.4212645665221977,-0.0007019180701362683,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.6,0.008528285253665318,0.20808698519734065,0.008878769169448741,-0.0022905142344278114,-0.3338413846525941,-0.42104008802312476,-0.00044895493485830155,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.65,0.006926685580005984,0.20951255505181796,-0.02951052999412651,-0.0022380259760800382,-0.33850239670328247,-0.4247550678415404,0.006970449624833352,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.7,0.0063961561006523355,0.20904123861290844,0.005648629514221515,0.00621238226351358,-0.3378510588722103,-0.424010138716714,0.0011670879422250656,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.75,0.006836205682860284,0.20940747788494102,-0.0004379074846259101,-0.00914150769725934,-0.3380437590798121,-0.4261726582815556,-0.000692416931845741,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.7999999999999999,0.00649846430135015,0.21037833279841192,-0.006254723637420856,-0.0002785885328201314,-0.3395628553347388,-0.4271572546558189,0.006707386892441313,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.11249999999999999,0.85,0.006108775135347619,0.21075445714312763,0.012281556888319667,-0.009387109861870784,-0.34160063927116896,-0.4296979147926596,1.2544944172921359e-05,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.05,0.009301253628314025,0.20192694509546452,-0.019404134819273278,0.004245055561004462,-0.32259504691356,-0.40558106620301887,-0.0024101492797680393,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.1,0.008323794562434468,0.2028848787276822,0.009169752128596276,-0.012614031014033954,-0.32498543173987154,-0.41283552289457964,0.008966905238951389,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.15,0.009663229075735493,0.2036832659650252,-0.02406759823882698,0.0060993865705329655,-0.3251239625378574,-0.4089578027390057,-0.0005015561946771537,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.2,0.008729140165571267,0.2038196343477638,0.03838803425927928,0.0017952402650501331,-0.32744796655846614,-0.4116400619247416,0.00022855815529267107,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.25,0.008411786583620906,0.2041127264339007,-0.014026769012114748,-0.00830503319603686,-0.3295521941469468,-0.41251308346276283,0.0025551211000832286,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.3,0.009574266957616614,0.20460112593304028,-0.011695157582486626,0.003855343696312661,-0.3276433638581647,-0.4115305698336367,-0.0028755304794473658,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.35,0.008127080140596389,0.20552113853854614,-0.010668411952802437,-0.0035733818611423935,-0.3291006374214304,-0.41615980218691884,-0.004431328503001099,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.1,0.39999999999999997,0.008518194877753474,0.2064509363511296,0.00617689870272109,-0.0005995437846633789,-0.33116430862727136,-0.41759089540036914,0.001428099202332853,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
